,fried,fried,fried,fried,fried,eps,eps,eps,eps,eps
,p05,p25,p50,p75,p95,p05,p25,p50,p75,p95
month,,,,,,,,,,
1,0.12177872289749464,0.12424283315766417,0.12668744334776544,0.1292829636993487,0.1343960406155039,0.7336010975628586,0.7626188750249462,0.7782385176449131,0.7935556105966423,0.8096117144967965
2,0.1220219991300739,0.12464348679862888,0.12648230217600565,0.13031550669077357,0.1339540710713043,0.7360386401056409,0.7565720321036902,0.7795010701772027,0.7910003570138673,0.8079939950293371
3,0.12505879877953985,0.12703913173496942,0.1297976872292143,0.13174330990989527,0.1362316443502989,0.7237164433730827,0.7483745971965425,0.759590311708364,0.7760849235681557,0.7883742477600305
4,0.11632112630721327,0.1221035081005041,0.13036904866743848,0.13251380751719388,0.13443229886350624,0.7334033286381335,0.7440210162941755,0.7562627559073296,0.8074557812839189,0.8475945599767517
5,0.10587977911098184,0.11503680887503724,0.11931019323086683,0.12442026615851878,0.12728298808874053,0.7745972075445084,0.7924212274571828,0.8263665554451902,0.8570891940069822,0.9312246944008212
6,0.1036734938444822,0.11172925388096885,0.11536124067437514,0.12120219182734152,0.1276693892654167,0.7722544390294754,0.8134998140157711,0.8546564010550433,0.8824294805038587,0.9509965849366662
7,0.10449089027251408,0.11177371169362124,0.11582641298164484,0.11798780767199207,0.12271596337472931,0.8034248768200833,0.8356206796398515,0.8512159486450179,0.8821294308119734,0.943569221093258
8,0.10232251835883839,0.10832178083098684,0.11225918513183172,0.11486432031962124,0.11923638006468809,0.8268836678576712,0.8583444801808519,0.8782626617451121,0.9101905528583305,0.9635610836132507
9,0.1112640387294624,0.11740455750202475,0.12366046220898155,0.12931308088211824,0.1311503527602584,0.7517569255453957,0.7624370298658991,0.7972883387046312,0.8397845615833239,0.8861177776487937
10,0.11423377769303716,0.12607956420392794,0.12941996897831154,0.1320058013114359,0.13614871656885147,0.7241586208326365,0.7468845248074428,0.7618070328532429,0.7819935852430109,0.8631059341543355
11,0.12446621233837413,0.1260866806689107,0.12811073414430083,0.13112686919450076,0.13263680792958524,0.743341555710976,0.7518905149336417,0.7695927627362817,0.7819473482875376,0.7921313577078214
12,0.11223668161535284,0.12216085958928245,0.12621392716569607,0.12905576013744682,0.13602224377561886,0.7248317481393313,0.7639573172367766,0.7811591153939199,0.8070764607671481,0.8784396753633358
