p,t,u,v,speed,rh,time,h,report_id
 31.1,335.34999999999997,0.029146473599929387,0.007105144381968546,0.03,0,19S7-21-47 12:00:00+00,0.1418,19S72147
 31.0,335.25,0.029219279018371545,0.006799539223105657,0.03,0,19S7-21-47 12:00:00+00,0.1418,19S72147
 31.0,335.04999999999995,0.02557920493062277,0.015674956941478458,0.03,0,19S7-21-47 12:00:00+00,0.1419,19S72147
 25.3,354.15,0.03938012719897747,-0.0070146690436795,0.04,0,19S7-21-47 12:00:00+00,0.1419,19S72147
 31.0,335.65,0.014386796006773023,-0.013893167409179945,0.02,0,19S7-21-47 12:00:00+00,0.14200000000000002,19S72147
 31.0,335.25,0.02940813523865166,0.005929720211373765,0.03,0,19S7-21-47 12:00:00+00,0.14200000000000002,19S72147
 30.9,335.25,0.016014627418974667,0.01198047197031172,0.02,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 30.9,335.45,0.01495596180997064,-0.01327852425304483,0.02,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 30.9,335.65,0.007793379649314739,-0.006266038113644607,0.01,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 31.0,335.34999999999997,0.007524149088957245,0.006586894601186804,0.01,0,19S7-21-47 12:00:00+00,0.1422,19S72147
 31.1,335.15,-0.0,0.0,0.0,0,19S7-21-47 12:00:00+00,0.14250000000000002,19S72147
 25.2,352.25,0.2579498223417643,-0.0325866407267191,0.26,0,19S7-21-47 12:00:00+00,0.1428,19S72147
 25.4,346.54999999999995,-0.0006980962574913405,-0.039993907806255655,0.04,0,19S7-21-47 12:00:00+00,0.1445,19S72147
 25.1,349.04999999999995,-0.0057569551867238215,-0.10984924882300312,0.11,0,19S7-21-47 12:00:00+00,0.15059999999999998,19S72147
 25.6,358.84999999999997,-2.5925616825440194,-0.9466910384093233,2.76,0,19S7-21-47 12:00:00+00,0.1555,19S72147
 25.8,358.25,-1.7659507575628495,-1.5806068207695418,2.37,0,19S7-21-47 12:00:00+00,0.1687,19S72147
 25.7,357.25,-1.3337044967469283,-1.5037726940455536,2.01,0,19S7-21-47 12:00:00+00,0.1996,19S72147
 24.2,351.15,1.6094629633784123,1.4851696770110747,2.19,0,19S7-21-47 12:00:00+00,0.5514,19S72147
 23.7,352.95,1.4305579553755314,2.3836744610604397,2.78,0,19S7-21-47 12:00:00+00,0.6359,19S72147
 23.1,354.04999999999995,1.2596086352968399,2.263070057661855,2.59,0,19S7-21-47 12:00:00+00,0.6939,19S72147
 23.0,354.04999999999995,1.199334258233886,2.374278277082654,2.66,0,19S7-21-47 12:00:00+00,0.7074,19S72147
 22.9,354.15,1.2077606468743696,2.2571916666206273,2.56,0,19S7-21-47 12:00:00+00,0.7208,19S72147
 21.9,355.54999999999995,0.24034171842462573,2.0459315380492815,2.06,0,19S7-21-47 12:00:00+00,0.839,19S72147
 21.6,355.15,-0.4965706106201686,2.0095565751350004,2.07,0,19S7-21-47 12:00:00+00,0.9124,19S72147
 21.5,355.54999999999995,-0.5918164538688392,2.0357193531845477,2.12,0,19S7-21-47 12:00:00+00,0.9215,19S72147
 21.5,355.54999999999995,-0.6979856469246609,2.1179509051645087,2.23,0,19S7-21-47 12:00:00+00,0.926,19S72147
 21.1,356.95,-0.8727969634526702,1.9429682088464026,2.13,0,19S7-21-47 12:00:00+00,0.9624,19S72147
 20.7,358.34999999999997,-1.0504119192817432,1.9897574726159077,2.25,0,19S7-21-47 12:00:00+00,0.9985,19S72147
 20.6,360.54999999999995,-1.1285549007147986,2.163322406871572,2.44,0,19S7-21-47 12:00:00+00,1.0431,19S72147
 20.5,359.45,-1.2604331866997476,2.444137512879731,2.75,0,19S7-21-47 12:00:00+00,1.1227,19S72147
 20.4,359.15,-1.2800151478208857,2.433939444881297,2.75,0,19S7-21-47 12:00:00+00,1.1315,19S72147
 20.3,359.04999999999995,-1.1427811482240366,2.4241392796751087,2.68,0,19S7-21-47 12:00:00+00,1.1359000000000001,19S72147
 18.7,359.95,-0.5966796908733313,0.6603584984682985,0.89,0,19S7-21-47 12:00:00+00,1.4241,19S72147
 18.5,360.84999999999997,-0.5353960618720658,0.4352597579973171,0.69,0,19S7-21-47 12:00:00+00,1.4530999999999998,19S72147
 17.5,361.75,-0.8391948997474802,1.291259819028617,1.54,0,19S7-21-47 12:00:00+00,1.583,19S72147
 17.5,358.75,-1.2414143639171349,1.2895698418698445,1.79,0,19S7-21-47 12:00:00+00,1.6342,19S72147
 17.0,358.34999999999997,-1.6019632566812105,1.5513264402579263,2.23,0,19S7-21-47 12:00:00+00,1.7416,19S72147
 16.7,355.84999999999997,-1.9498868675439935,0.632804238117502,2.05,0,19S7-21-47 12:00:00+00,1.8554000000000002,19S72147
 15.6,356.04999999999995,-2.6856537638538835,-1.4243819223429748,3.04,0,19S7-21-47 12:00:00+00,2.0433,19S72147
 15.6,354.54999999999995,-2.471960892647973,-1.5729937524411968,2.93,0,19S7-21-47 12:00:00+00,2.0533,19S72147
 15.4,354.25,-2.6483010460119956,-1.4722097573687556,3.03,0,19S7-21-47 12:00:00+00,2.1083000000000003,19S72147
 15.2,353.75,-2.970146073342449,-1.294539417325109,3.24,0,19S7-21-47 12:00:00+00,2.1336999999999997,19S72147
 14.6,354.65,-3.056554921439117,-1.4428693676928326,3.38,0,19S7-21-47 12:00:00+00,2.2271,19S72147
 14.6,353.95,-3.2233792184496433,-1.4142936095687366,3.52,0,19S7-21-47 12:00:00+00,2.2429,19S72147
 14.1,353.75,-3.127835370915428,-1.407673929733143,3.43,0,19S7-21-47 12:00:00+00,2.3113,19S72147
 13.5,353.34999999999997,-2.76734056565029,-0.2650022522665277,2.78,0,19S7-21-47 12:00:00+00,2.4064,19S72147
 13.4,353.34999999999997,-2.658984486331666,-0.33496492569749575,2.68,0,19S7-21-47 12:00:00+00,2.4116999999999997,19S72147
 13.4,353.34999999999997,-2.4266304929567957,-0.33758621217736356,2.45,0,19S7-21-47 12:00:00+00,2.4223000000000003,19S72147
 13.2,352.75,-2.2751702587723694,-0.14832495945614696,2.28,0,19S7-21-47 12:00:00+00,2.5063000000000004,19S72147
 12.4,353.15,-2.748472138634804,-0.09165644084420432,2.75,0,19S7-21-47 12:00:00+00,2.6387,19S72147
 11.4,354.25,-3.085802428882288,-0.5241406012742861,3.13,0,19S7-21-47 12:00:00+00,2.7808,19S72147
 11.3,354.15,-2.919508516185145,-0.5453164438401027,2.97,0,19S7-21-47 12:00:00+00,2.7912,19S72147
 11.3,354.34999999999997,-2.9452804620861923,-0.5703709316342704,3.0,0,19S7-21-47 12:00:00+00,2.7963000000000005,19S72147
 11.0,354.95,-2.9341985815791185,-0.18460412741618112,2.94,0,19S7-21-47 12:00:00+00,2.8427,19S72147
 10.9,351.54999999999995,-2.5490181813047332,0.07075529222545436,2.55,0,19S7-21-47 12:00:00+00,2.8683,19S72147
 10.8,353.04999999999995,-2.4288666257332125,0.07420858709986916,2.43,0,19S7-21-47 12:00:00+00,2.8832,19S72147
 10.8,353.15,-2.309997150152315,0.0036285380227194758,2.31,0,19S7-21-47 12:00:00+00,2.8883,19S72147
  9.4,354.25,-2.491912164804117,0.20093223459977555,2.5,0,19S7-21-47 12:00:00+00,3.1146,19S72147
  9.4,352.04999999999995,-2.509996177052352,0.004380774198404328,2.51,0,19S7-21-47 12:00:00+00,3.1303,19S72147
  9.4,348.84999999999997,-2.8613729657360154,-0.32702408314232656,2.88,0,19S7-21-47 12:00:00+00,3.1616,19S72147
  8.8,353.25,-3.336125591678543,0.1608292154662502,3.34,0,19S7-21-47 12:00:00+00,3.2196,19S72147
  8.4,350.84999999999997,-3.753574852357138,0.5241906406567047,3.79,0,19S7-21-47 12:00:00+00,3.3224,19S72147
  8.1,352.04999999999995,-3.9056909820874366,0.6535885192082838,3.96,0,19S7-21-47 12:00:00+00,3.3628000000000005,19S72147
  7.7,352.75,-4.3277071893571515,1.078216343405361,4.46,0,19S7-21-47 12:00:00+00,3.4284000000000003,19S72147
  7.6,333.75,-5.079792581838025,1.6466047872830216,5.34,0,19S7-21-47 12:00:00+00,3.5358,19S72147
  6.5,345.75,-6.179703200069845,1.8822508756928542,6.46,0,19S7-21-47 12:00:00+00,3.7616,19S72147
  6.3,349.84999999999997,-5.956895911906545,2.0197750109136154,6.29,0,19S7-21-47 12:00:00+00,3.7908000000000004,19S72147
  6.2,348.34999999999997,-5.8342292120292925,2.068301114805111,6.19,0,19S7-21-47 12:00:00+00,3.8004000000000002,19S72147
  6.1,348.04999999999995,-5.463186335367957,2.382266791324774,5.96,0,19S7-21-47 12:00:00+00,3.8197,19S72147
  6.0,344.15,-5.407756909015315,2.283213790471039,5.87,0,19S7-21-47 12:00:00+00,3.8538,19S72147
  5.5,348.95,-5.287035009876655,1.8153128667914387,5.59,0,19S7-21-47 12:00:00+00,3.9115,19S72147
  5.0,356.65,-4.967324620611,1.0639953540649425,5.08,0,19S7-21-47 12:00:00+00,4.0336,19S72147
  4.8,353.95,-4.6940221982060955,0.847971463404524,4.77,0,19S7-21-47 12:00:00+00,4.0587,19S72147
  4.7,349.45,-4.90604938899465,0.4853652158377366,4.93,0,19S7-21-47 12:00:00+00,4.0891,19S72147
  4.7,348.34999999999997,-5.289605205503791,-0.06462793441845735,5.29,0,19S7-21-47 12:00:00+00,4.1251999999999995,19S72147
  4.2,354.95,-5.4899196437960835,-0.02970361361658329,5.49,0,19S7-21-47 12:00:00+00,4.2087,19S72147
  3.7,348.45,-5.2077068712219905,0.1545611316834275,5.21,0,19S7-21-47 12:00:00+00,4.3005,19S72147
  3.3,350.54999999999995,-6.479112745002202,0.7290391193550806,6.52,0,19S7-21-47 12:00:00+00,4.454,19S72147
  2.9,358.84999999999997,-7.056464667284826,0.949055530177689,7.12,0,19S7-21-47 12:00:00+00,4.5233,19S72147
