time,v150,v200,fried,eps,year,month,hour
2017-07-02 12:00:00+00,26.587852346029536,21.768917754057455,0.07777873664333258,1.2676092054028578,2017,7,12
2017-07-05 12:00:00+00,5.237573070369005,15.413290198589614,0.08195857657506664,1.202961870175852,2017,7,12
2017-07-07 12:00:00+00,5.894809606599076,7.243389699006656,0.08248396325244192,1.195299530551766,2017,7,12
2017-07-09 12:00:00+00,3.5650470244335346,4.89517230994103,0.08863485655660211,1.11235067538843,2017,7,12
2017-07-10 12:00:00+00,11.698435352926126,8.834994554476559,0.08469651586016481,1.1640743607030013,2017,7,12
2017-07-11 12:00:00+00,13.15080548928377,17.099763816767485,0.07748579865871912,1.2724014498184275,2017,7,12
2017-07-12 12:00:00+00,15.406016060199129,17.81821577052419,0.07078078127889077,1.39293521168149,2017,7,12
2017-07-13 12:00:00+00,5.83475334740701,19.07067535311682,0.08002859273483552,1.2319727135571203,2017,7,12
2017-07-14 12:00:00+00,6.038072071514274,14.0219638148413,0.07522391065744993,1.310660954635288,2017,7,12
2017-07-15 12:00:00+00,5.923611351480919,9.750924619746552,0.06074608620778998,1.623035304965039,2017,7,12
2017-07-16 12:00:00+00,3.0815258340080662,14.582013438433485,0.07127736292566572,1.383230783334597,2017,7,12
2017-07-17 12:00:00+00,8.894936285191738,14.173243568505193,0.08783782757944042,1.1224440001607,2017,7,12
2017-07-18 12:00:00+00,7.386285134002701,4.999850085935999,0.07231806555841261,1.3633252188425526,2017,7,12
2017-07-19 12:00:00+00,21.588589113500422,22.792122400851373,0.0862034422557827,1.1437251224974039,2017,7,12
2017-07-21 12:00:00+00,31.51383528613468,12.558972350922303,0.051334419020769344,1.920603065826133,2017,7,12
2017-07-22 12:00:00+00,32.56796081598439,27.611416078185986,0.0888609644979539,1.1095202838583094,2017,7,12
2017-07-23 12:00:00+00,13.75201359334238,20.34875073095559,0.06988380433431803,1.4108139001997149,2017,7,12
2017-07-24 12:00:00+00,13.605946991210548,18.45164159602901,0.08811329094619144,1.1189349699116473,2017,7,12
2017-07-25 12:00:00+00,10.492473820109593,21.550837133853854,0.07686536266181665,1.2826719232103443,2017,7,12
2017-07-26 12:00:00+00,5.02453455362364,16.306825659305165,0.059592537115980275,1.6544528446877342,2017,7,12
2017-07-28 12:00:00+00,14.976125229686552,11.890515649652572,0.08410302432013794,1.172288908165761,2017,7,12
2017-07-30 12:00:00+00,2.7696001641165595,2.444685757060709,0.06878306327141567,1.4333912719857809,2017,7,12
2017-07-31 12:00:00+00,7.869964052805394,4.061061601483806,0.08087386189773067,1.2190965070812267,2017,7,12
2017-08-01 12:00:00+00,7.383262336183374,7.673712860632218,0.0692808167917346,1.4230929587633754,2017,8,12
2017-08-02 12:00:00+00,11.166336808120148,14.951302079592754,0.08198569414415778,1.2025639787879823,2017,8,12
2017-08-03 12:00:00+00,12.238438101487562,19.65948064149802,0.08463165951542054,1.1649664335806689,2017,8,12
2017-08-05 12:00:00+00,7.911049183140721,4.972361429961878,0.0792748397516316,1.243686431440106,2017,8,12
2017-08-07 12:00:00+00,14.667542130214283,8.896407220248683,0.06411230591031747,1.537817758288219,2017,8,12
2017-08-08 12:00:00+00,9.003827489470895,1.6220202004974955,0.06908459041253871,1.427135081281433,2017,8,12
2017-08-09 12:00:00+00,14.576398232601926,16.37805707226169,0.04257813062971903,2.315579408854464,2017,8,12
2017-08-10 12:00:00+00,10.463306985030073,11.005985260425266,0.0709145646897073,1.3903073788169635,2017,8,12
2017-08-12 12:00:00+00,7.492413095353459,17.011338843941004,0.06608087033858653,1.492005811190438,2017,8,12
2017-08-15 12:00:00+00,14.68998505508528,15.805754687940496,0.07253885287121008,1.3591756507197748,2017,8,12
