SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Tmpv,Formasi Parang,Parang Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmrs,Anggota Sigugur,Rambatan Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tms3,Formasi Semilir,Semilir Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmse,Formasi Semilir,Semilir Formation,,,,
Tmsl1,Formasi Sampung,Sampung Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmss,Formasi Sambipitu,Sambipitu Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: neritic,
Tmt1,Anggota Ngrayong,Tuban Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmtn,Formasi Ngrayong,Ngrayong Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmw,Formasi Wonocolo,Wonocolo Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: terrestrial: fluvial,
Tmw1,Formasi Wuni,Wuni Formation,Sediment: clastic: coarse: breccia,,,
Tmw3,Formas Waturanda,Waturanda Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmwl,Formasi Wonosari,Wonosari Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmwl1,Formasi Wonosari,Wonosari Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tmwt,Anggota tufa,Waturonda Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Toma,Formasi Arjosari,Arjosari Formation,Sediment: clastic: coarse: breccia,Sedimentation: transitional,Sedimentation: transitional,
Tomd,Formasi Dayakan,Dayakan Formation,Sediment: clastic: medium: flysch,Sedimentation: neritic,Sedimentation: neritic,
Tomg1,Formasi Gabon,Gabon Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tomi,BatuanTerobosan,Intrusive Rock,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tomi1,Batuan Terobosan,Intrusive Rocks,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tomk,Formasi Kebobutak,Kebobutak Formation,Sediment: clastic: medium: flysch,Sedimentation: neritic,Sedimentation: neritic,
Tomm2,Formasi Mandalika,Mandalika Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tomm3,Formasi Mandalika,Mandalika Formation,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
